household_id,adults,children,state,occupation_group,market_income,weight,employed,age_head,ai_exposure,automation_prone,augmentation_prone
1,2,0,IN,office_admin,64957,1.891775663709268,1,42,0.75,0.55,0.45
2,4,1,LA,installation,89903,1.1936769945314154,1,50,0.25,0.2,0.8
3,1,1,SD,education,500000,1.1699030906893313,1,38,0.45,0.2,0.8
4,3,1,VT,education,66461,1.0754505443619564,1,35,0.45,0.2,0.8
5,1,0,CA,office_admin,9988,1.7228877781890333,0,61,0.75,0.55,0.45
6,2,1,VA,sales,160847,0.7904972732067108,1,23,0.55,0.4,0.6
7,4,0,NH,food_prep,40609,0.9578317489940673,1,36,0.2,0.25,0.75
8,2,1,WA,computer_math,98718,0.9005731188226491,1,65,0.85,0.25,0.75
9,2,0,TN,sales,43951,0.9436436735559255,0,68,0.55,0.4,0.6
10,4,0,MS,community_social,31793,0.6906339701963589,1,56,0.35,0.15,0.85
11,1,0,NH,office_admin,18518,0.6326306299306452,1,45,0.75,0.55,0.45
12,3,0,ID,construction,56710,1.9378883970202878,0,43,0.2,0.25,0.75
13,4,1,WV,transportation,65417,1.465666514239274,1,28,0.3,0.4,0.6
14,4,0,MS,computer_math,37048,1.6278934528818354,0,31,0.85,0.25,0.75
15,3,3,NC,production,34947,1.9281973509350792,1,30,0.35,0.45,0.55
16,1,0,RI,office_admin,37210,1.0001400195760652,0,61,0.75,0.55,0.45
17,2,0,NV,business_financial,141772,1.4326360165141523,1,29,0.78,0.4,0.6
18,3,0,NJ,transportation,31162,0.8994686102960259,1,75,0.3,0.4,0.6
19,3,1,WY,office_admin,416260,0.7001974489539862,0,45,0.75,0.55,0.45
20,1,1,WA,computer_math,49108,0.8426423913333565,1,75,0.85,0.25,0.75
21,2,0,NV,office_admin,57326,1.0624064174480736,1,28,0.75,0.55,0.45
22,2,0,PA,business_financial,311731,0.760916723869741,0,53,0.78,0.4,0.6
23,2,1,PA,transportation,26639,0.5756129759829491,1,32,0.3,0.4,0.6
24,1,0,AL,construction,64138,0.6581777924438938,1,40,0.2,0.25,0.75
25,2,1,IL,production,153226,1.5266511525260285,1,69,0.35,0.45,0.55
26,4,2,NV,sales,200474,1.802618476562202,1,43,0.55,0.4,0.6
27,3,1,WI,production,18267,1.4389418218052015,1,45,0.35,0.45,0.55
28,3,2,HI,installation,50665,1.8782287354115397,1,74,0.25,0.2,0.8
29,1,0,ID,office_admin,44699,0.6249750937568024,0,28,0.75,0.55,0.45
30,1,0,AK,construction,24598,1.1680614650249481,1,39,0.2,0.25,0.75
31,1,2,MN,transportation,35237,1.1754325669026002,0,45,0.3,0.4,0.6
32,2,1,UT,sales,104168,1.1665040749358013,1,56,0.55,0.4,0.6
33,1,1,NC,installation,27126,1.8179133725352585,0,38,0.25,0.2,0.8
34,4,0,NY,building_grounds,18093,0.8229564569192007,0,74,0.18,0.3,0.7
35,2,1,WA,architecture_engineering,299345,1.022484686342068,1,29,0.68,0.3,0.7
36,2,0,DE,management,85597,1.428321386454627,1,67,0.72,0.35,0.65
37,2,0,IL,business_financial,15673,0.7323041593190283,0,29,0.78,0.4,0.6
38,3,0,VA,management,82533,1.7929986581439152,1,28,0.72,0.35,0.65
39,4,0,RI,management,31089,1.8174060208257288,0,33,0.72,0.35,0.65
40,2,0,IL,food_prep,14017,0.9490464042173699,1,71,0.2,0.25,0.75
41,1,2,MD,sales,101140,1.1011325902072713,0,39,0.55,0.4,0.6
42,1,0,WV,food_prep,17273,1.2943677202565596,0,74,0.2,0.25,0.75
43,3,3,AL,sales,50307,0.7322635668097064,1,63,0.55,0.4,0.6
44,4,3,NV,farming,8748,0.8558641517302021,0,75,0.15,0.2,0.8
45,1,1,LA,building_grounds,137612,0.9171193913789466,1,64,0.18,0.3,0.7
46,2,0,ID,office_admin,75176,0.6475278747966513,1,58,0.75,0.55,0.45
